"restaurant";"type";"prix";"nom";"description"
"Amorino - Bretagne";"drink";"6,9";"Boite de wafer al gianduja ";"Gaufrettes fourrées au chocolat noisette, 400 g."
"Amorino - Bretagne";;"6,5";"Sachet  amaretti ";"Macaron italien, moelleux et parfumé aux amandes, 200 gr."
"Amorino - Bretagne";"dessert";"3,4";"Cake citron amandes";"Cake au citron agrémenté de morceaux d'amandes, cake authentique aux œufs entiers, sans colorant ni arôme artificiel, peut contenir des traces de gluten, d’œufs, de lait et de fruits à coques"
"Amorino - Bretagne";;"3,9";"Sachet assortiment";"Un assortiment de biscuits italiens : cantucci, ossi di morto, brutti e buoni, biscotello et pane del pescatore, 6 biscuits."
"Amorino - Bretagne";"dessert";"3,4";"Cake carotte";"Carotte cake, recette traditionnelle, cake aux œufs entiers, sans colorant ni arome artificiel, peut contenir des traces de gluten, d’œufs et de lait."
"Amorino - Bretagne";;"20,9";"Boite de 12 macarons al gelato au choix";"De tendres macarons garnis de glace pour faire fondre de plaisir tous les gourmands !"
"Amorino - Bretagne";;"28,9";"Bliss box";"3 parfums de glace ou sorbet et 3 toppings au choix."
"Amorino - Bretagne";"dessert";"3,4";"Cake banane noix";"Cake à la banane accompagné de morceaux croquants de noix, cake aux œufs entiers, sans colorant ni arôme artificiel, peut contenir des traces de gluten, d’œufs, de lait, et de fruits à coques."
"Amorino - Bretagne";;"1";"Cornets vides";"4 pièces."
"Amorino - Bretagne";"drink";"3,4";"Cake Chocolat";"Cake au Chocolat fondant, cake authentique aux œufs entiers, sans colorant ni arôme artificiel, peut contenir des traces de gluten, d’œufs, de lait et de soja."
"Amorino - Bretagne";;"6,5";"Sachet biscotello";"Biscuits sablés aux amandes, 200 gr."
"Amorino - Bretagne";;"1,5";"Sachet de nocciolini ";"Petites meringues aux noisettes, \" 20g \" ."
"Amorino - Bretagne";;"37,9";"Boite de 24 macarons al gelato au choix";"De tendres macarons garnis de glace pour faire fondre de plaisir tous les gourmands !"
"Amorino - Bretagne";;"25";"Coffret de 1100 ml";"1 à 3 parfums au choix."
"Amorino - Bretagne";;"1";"Pots vides";"4 pièces."
"Amorino - Bretagne";;"9,5";"Coppa géante";"1 à 2 parfums au choix."
"Amorino - Bretagne";"drink";"1,8";"Sachet de mini-wafer al gianduja ";"Gaufrettes fourrées au chocolat noisette, 30 gr."
"Amorino - Bretagne";;"19,9";"Tête a tête";"2 parfums de glace ou sorbet et 6 macarons al gelato au choix."
"Amorino - Bretagne";;"14";"Coffret de 550 ml";"1 à 2 parfums au choix."
"Amorino - Marais";;"20,9";"Boite de 12 macarons al gelato au choix";"De tendres macarons garnis de glace pour faire fondre de plaisir tous les gourmands !"
"Amorino - Marais";"dessert";"3,4";"Cake citron amandes";"Cake au citron agrémenté de morceaux d'amandes, cake authentique aux œufs entiers, sans colorant ni arôme artificiel, peut contenir des traces de gluten, d’œufs, de lait et de fruits à coques"
"Amorino - Marais";;"19,9";"Tête a tête";"2 parfums de glace ou sorbet et 6 macarons al gelato au choix."
"Amorino - Marais";"dessert";"3,4";"Cake carotte";"Carotte cake, recette traditionnelle, cake aux œufs entiers, sans colorant ni arome artificiel, peut contenir des traces de gluten, d’œufs et de lait."
"Amorino - Marais";"drink";"6,9";"Boite de wafer al gianduja ";"Gaufrettes fourrées au chocolat noisette, 400 g."
"Amorino - Marais";;"9,5";"Coppa géante";"1 à 2 parfums au choix."
"Amorino - Marais";;"25";"Coffret de 1100 ml";"1 à 3 parfums au choix."
"Amorino - Marais";;"6,5";"Sachet  amaretti ";"Macaron italien, moelleux et parfumé aux amandes, 200 gr."
"Amorino - Marais";;"14";"Coffret de 550 ml";"1 à 2 parfums au choix."
"Amorino - Marais";;"1";"Pots vides";"4 pièces."
"Amorino - Marais";"drink";"1,8";"Sachet de mini-wafer al gianduja ";"Gaufrettes fourrées au chocolat noisette, 30 gr."
"Amorino - Marais";;"1";"Cornets vides";"4 pièces."
"Amorino - Marais";;"28,9";"Bliss box";"3 parfums de glace ou sorbet et 3 toppings au choix."
"Amorino - Marais";;"37,9";"Boite de 24 macarons al gelato au choix";"De tendres macarons garnis de glace pour faire fondre de plaisir tous les gourmands !"
"Amorino - Marais";"drink";"3,4";"Cake Chocolat";"Cake au Chocolat fondant, cake authentique aux œufs entiers, sans colorant ni arôme artificiel, peut contenir des traces de gluten, d’œufs, de lait et de soja."
"Amorino - Marais";;"6,5";"Sachet biscotello";"Biscuits sablés aux amandes, 200 gr."
"Amorino - Marais";;"3,9";"Sachet assortiment";"Un assortiment de biscuits italiens : cantucci, ossi di morto, brutti e buoni, biscotello et pane del pescatore, 6 biscuits."
"Amorino - Marais";"dessert";"3,4";"Cake banane noix";"Cake à la banane accompagné de morceaux croquants de noix, cake aux œufs entiers, sans colorant ni arôme artificiel, peut contenir des traces de gluten, d’œufs, de lait, et de fruits à coques."
"Amorino - Marais";;"1,5";"Sachet de nocciolini ";"Petites meringues aux noisettes, \" 20g \" ."
"Amorino - Vosges";;"14";"Coffret de 550 ml";"1 à 2 parfums au choix."
"Amorino - Vosges";;"19,9";"Tête a tête";"2 parfums de glace ou sorbet et 6 macarons al gelato au choix."
"Amorino - Vosges";;"1,5";"Sachet de nocciolini ";"Petites meringues aux noisettes, \" 20g \" ."
"Amorino - Vosges";;"28,9";"Bliss box";"3 parfums de glace ou sorbet et 3 toppings au choix."
"Amorino - Vosges";"drink";"3";"San Pellegrino";""
"Amorino - Vosges";"dessert";"3,4";"Cake banane noix";"Cake à la banane accompagné de morceaux croquants de noix, cake aux œufs entiers, sans colorant ni arôme artificiel, peut contenir des traces de gluten, d’œufs, de lait, et de fruits à coques."
"Amorino - Vosges";;"37,9";"Boite de 24 macarons al gelato au choix";"De tendres macarons garnis de glace pour faire fondre de plaisir tous les gourmands !"
"Amorino - Vosges";"drink";"3";"Orangina";""
"Amorino - Vosges";"drink";"1,8";"Sachet de mini-wafer al gianduja ";"Gaufrettes fourrées au chocolat noisette, 30 gr."
"Amorino - Vosges";;"25";"Coffret de 1100 ml";"1 à 3 parfums au choix."
"Amorino - Vosges";;"3";"Minute Maid Orange";""
"Amorino - Vosges";"dessert";"3,4";"Cake citron amandes";"Cake au citron agrémenté de morceaux d'amandes, cake authentique aux œufs entiers, sans colorant ni arôme artificiel, peut contenir des traces de gluten, d’œufs, de lait et de fruits à coques"
"Amorino - Vosges";;"3";"Suz Tea";""
"Amorino - Vosges";;"3";"Boite de 12 Macarons Traditionnels";""
"Amorino - Vosges";"drink";"3,4";"Cake Chocolat";"Cake au Chocolat fondant, cake authentique aux œufs entiers, sans colorant ni arôme artificiel, peut contenir des traces de gluten, d’œufs, de lait et de soja."
"Amorino - Vosges";;"9,5";"Coppa géante";"1 à 2 parfums au choix."
"Amorino - Vosges";;"3";"Eau plate";""
"Amorino - Vosges";"drink";"3";"Coca Cola";""
"Amorino - Vosges";;"1";"Pots vides";"4 pièces."
"Amorino - Vosges";;"20,9";"Boite de 12 macarons al gelato au choix";"De tendres macarons garnis de glace pour faire fondre de plaisir tous les gourmands !"
"Amorino - Vosges";"drink";"3";"Coca Cola Zero";""
"Amorino - Vosges";;"1";"Cornets vides";"4 pièces."
